time,battery_current,soc,solarCurrent,solarVoltage,battery_voltage,solar_power
0.5,12.90137317,61.31428058,7.246857511,26.87269727,12.92247312,195.3296695
0.6,12.65516256,61.3139875,7.361443201,26.53434714,12.92224656,195.0225902
0.7,13.04614003,61.31368614,7.324731466,26.64862986,12.9213898,195.1589086
0.8,12.76996977,61.31337866,7.262601641,26.82920999,12.92143175,195.3156818
0.9,12.69060613,61.31306664,7.376751407,26.48481194,12.92131664,194.9404744
1,13.09136081,61.31275128,7.285260274,26.76507514,12.92067709,195.2716575
1.1,14.87753596,61.31242499,5.896478688,27.34306716,12.91754534,161.0098773
1.2,15.15147335,61.31208322,5.912599792,27.27459825,12.91649443,160.9055077
1.3,15.3126298,61.31173001,5.870259602,27.44954686,12.91576446,161.1066819
1.4,15.23634396,61.31136836,5.835023641,27.58417338,12.91545817,161.1942132
1.5,15.1027143,61.31100044,5.839572949,27.5672944,12.91532464,161.1861286
1.6,17.94871987,61.31061847,4.426490332,28.06158363,12.91072091,124.1042333
1.7,17.63272426,61.31021784,4.377150513,28.3294072,12.91022643,124.2319552
1.8,17.77495582,61.30980346,4.449220528,27.92356826,12.90941488,123.9687495
1.9,17.75504249,61.30937891,4.373001975,28.35024677,12.90895789,124.2338317
2,17.5014547,61.30894682,4.453926777,27.89362219,12.90891216,123.9336116
2.1,20.1910102,61.30849882,2.912657026,28.95003502,12.90434851,84.48218197
2.2,20.70989125,61.30802991,2.883092282,29.16161695,12.90274824,84.3840902
2.3,21.01408398,61.30754558,2.932683132,28.79041848,12.90166376,84.49203828
2.4,20.63841832,61.30704982,2.976054307,28.38298319,12.9015821,84.30338615
2.5,20.26765305,61.30654562,2.978256569,28.35942249,12.90162999,84.28416718
2.6,24.32977914,61.30602402,1.463407348,28.74304996,12.89529676,42.09260912
2.7,22.9617377,61.30547941,1.494748771,28.12369431,12.89586663,41.97977437
2.8,24.02662744,61.3049178,1.427328205,29.24753421,12.8937816,41.8733218
2.9,23.47376708,61.3043436,1.50370108,27.89165181,12.89386637,41.85713547
3,23.27117945,61.30376008,1.426217378,29.26083924,12.89365899,41.86274733
3.1,24.41829046,61.30316402,0.743080722,27.81668868,12.89137561,20.66094042
3.2,25.74681101,61.30255343,0.745740738,27.69603124,12.88909267,20.64108898
3.3,25.28837448,61.30193209,0.717681959,28.6547614,12.88913725,20.5919893
3.4,24.41486145,61.30130279,0.743165496,27.81298382,12.8898187,20.66042221
3.5,25.74451244,61.3006676,0.745793356,27.69354789,12.88793849,20.64061766
3.6,25.58800665,61.30002693,0.592476151,28.27066748,12.88781496,16.74376995
3.7,25.71770876,61.29938131,0.585698463,28.61073746,12.88742026,16.75942882
3.8,25.46239913,61.29873204,0.579327377,28.87349348,12.88755389,16.73687523
3.9,25.05127156,61.29808006,0.584731786,28.65362299,12.88792065,16.75799363
4,25.17180898,61.29742608,0.592372766,28.27646545,12.88768381,16.74440584
0,-1.40625E-09,66.15087041,8.024830487,0.004814898,0,0
0.1,16.78160872,66.15080598,7.961344687,16.49485377,12.93855325,130.3469737
0.2,15.73782847,66.1506431,7.949577058,18.84206737,12.93575262,147.898465
0.3,14.38542128,66.15041582,7.908511587,21.90391449,12.93485685,170.2633738
0.4,13.00609681,66.15015146,7.516725586,25.96643979,12.93522287,193.7292894
0.5,12.77619486,66.14986909,7.367430644,26.51511092,12.93482998,194.9911335
0.6,13.10157524,66.14957541,7.298649969,26.72627129,12.93394821,195.2400396
0.7,12.74497658,66.14927336,7.294565453,26.73818193,12.93401177,195.2619124
0.8,12.80108766,66.14896512,7.36951893,26.50836032,12.93367724,194.9797944
0.9,13.11707807,66.14865231,7.25918755,26.83871316,12.93309731,195.3146828
1,12.70219038,66.14833611,7.323330901,26.65287102,12.93344773,195.1812497
1.1,15.05725749,66.14800889,5.931139196,27.19274963,12.92970259,160.7802008
1.2,15.39727607,66.14766616,5.8833099,27.39726886,12.92862305,161.0565832
1.3,15.31523602,66.14731201,5.823406935,27.62664082,12.92822303,161.2092075
1.4,14.95434586,66.14694939,5.858966988,27.49369319,12.92828866,161.1499549
1.5,15.11612652,66.14658051,5.926019586,27.21570068,12.92782471,160.8172222
1.6,18.03120299,66.14619759,4.436280079,28.00342912,12.92322382,124.052567
1.7,17.56197366,66.14579602,4.374882056,28.34083144,12.92297644,124.1960964
1.8,17.99477787,66.1453807,4.442281218,27.96683305,12.92186338,124.0159717
1.9,17.64818337,66.1449552,4.367311865,28.3784552,12.92183304,124.2342781
2,17.90753235,66.14452216,4.452555155,27.90240157,12.92119838,123.9441317
2.1,20.40875546,66.14407326,2.912766906,28.94919843,12.91696158,84.48237157
2.2,20.94526884,66.14360349,2.916104733,28.92358989,12.91541525,84.48745634
2.3,20.69395337,66.14311832,2.961887618,28.52713317,12.91505085,84.402272
2.4,20.41539436,66.14262175,2.96970626,28.44910566,12.91488995,84.35281128
